project,case_id,primitive,primitive_group,is_low_risk,n_fail,n_selfpure,n_upgrade_avoid,n_upgrade_neutralize,n_absent,n_excluded_missing_destination,n_total_instances,report_path
zhengchuancases0403,04419e3,CVW,CVW/AVW,1,0,0,0,0,1,1,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/04419e3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,04419e3,AVW,CVW/AVW,1,1,0,0,0,0,4,1,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/04419e3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,04419e3,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/04419e3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,04419e3,OUW,OUW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/04419e3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,04419e3,AAW,AAW,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/04419e3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,04419e3,CFH,CFH,0,0,1,0,0,0,0,1,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/04419e3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
zhengchuancases0403,04419e3,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/04419e3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,0540b60,CVW,CVW/AVW,1,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test3/completed/0540b60/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,0540b60,AVW,CVW/AVW,1,3,0,0,0,0,0,3,/home/jpu007/ExpBridge/projects/big_test3/completed/0540b60/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,0540b60,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/0540b60/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,0540b60,OUW,OUW,0,2,0,0,0,0,0,2,/home/jpu007/ExpBridge/projects/big_test3/completed/0540b60/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,0540b60,AAW,AAW,0,0,4,0,0,0,0,4,/home/jpu007/ExpBridge/projects/big_test3/completed/0540b60/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,0540b60,CFH,CFH,0,0,3,0,0,0,0,3,/home/jpu007/ExpBridge/projects/big_test3/completed/0540b60/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test3,0540b60,IF,IF,0,0,2,0,1,0,0,3,/home/jpu007/ExpBridge/projects/big_test3/completed/0540b60/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-1-2,0b1e853,CVW,CVW/AVW,1,1,0,0,0,0,10,1,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/0b1e853/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-1-2,0b1e853,AVW,CVW/AVW,1,12,0,0,0,0,7,12,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/0b1e853/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-1-2,0b1e853,CAW,CAW,0,4,0,0,0,0,0,4,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/0b1e853/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-1-2,0b1e853,OUW,OUW,0,5,0,0,0,0,0,5,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/0b1e853/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-1-2,0b1e853,AAW,AAW,0,0,6,0,0,0,0,6,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/0b1e853/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-1-2,0b1e853,CFH,CFH,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/0b1e853/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
new_bugs-1-2,0b1e853,IF,IF,0,0,1,0,1,0,0,2,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/0b1e853/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,10005f4,CVW,CVW/AVW,1,0,0,0,0,1,1,0,/home/jpu007/ExpBridge/projects/big_test2/completed/10005f4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,10005f4,AVW,CVW/AVW,1,0,0,0,0,1,6,0,/home/jpu007/ExpBridge/projects/big_test2/completed/10005f4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,10005f4,CAW,CAW,0,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test2/completed/10005f4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,10005f4,OUW,OUW,0,2,0,0,0,0,0,2,/home/jpu007/ExpBridge/projects/big_test2/completed/10005f4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,10005f4,AAW,AAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/10005f4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,10005f4,CFH,CFH,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/10005f4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,10005f4,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/10005f4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,107429d,CVW,CVW/AVW,1,1,0,0,0,0,0,1,/home/jpu007/ExpBridge/projects/big_test2/completed/107429d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,107429d,AVW,CVW/AVW,1,5,0,0,0,0,0,5,/home/jpu007/ExpBridge/projects/big_test2/completed/107429d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,107429d,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/107429d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,107429d,OUW,OUW,0,7,0,0,0,0,0,7,/home/jpu007/ExpBridge/projects/big_test2/completed/107429d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,107429d,AAW,AAW,0,0,5,0,0,0,0,5,/home/jpu007/ExpBridge/projects/big_test2/completed/107429d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,107429d,CFH,CFH,0,0,7,0,0,0,0,7,/home/jpu007/ExpBridge/projects/big_test2/completed/107429d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test2,107429d,IF,IF,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/107429d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test1,10a9db4,CVW,CVW/AVW,1,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/10a9db4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test1,10a9db4,AVW,CVW/AVW,1,0,0,0,0,1,1,0,/home/jpu007/ExpBridge/projects/big_test1/completed/10a9db4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
big_test1,10a9db4,CAW,CAW,0,0,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/10a9db4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
