case_id,project,endstate_count,primitive_count,not_usable,avoidance,neutralization,clean,excluded_value_write_missing_destination,excluded_value_write_missing_destination_paths,report
04419e3,zhengchuancases0403,4,3,1,0,0,2,5,10,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/04419e3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
0540b60,big_test3,153,16,6,0,1,9,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/0540b60/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
0b1e853,new_bugs-1-2,20,30,22,0,1,7,17,319,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/0b1e853/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
10005f4,big_test2,57,3,3,0,0,0,7,931,/home/jpu007/ExpBridge/projects/big_test2/completed/10005f4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
107429d,big_test2,92,25,13,0,0,12,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/107429d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
10a9db4,big_test1,4,2,0,0,0,2,1,3,/home/jpu007/ExpBridge/projects/big_test1/completed/10a9db4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
1966db2,big_test2,19,3,1,0,0,2,11,218,/home/jpu007/ExpBridge/projects/big_test2/completed/1966db2/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
1fafa9c,zhengchuancases0403,1,1,0,0,0,1,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/1fafa9c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
24d0577,big_test4,2,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/24d0577/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
28a66a9,big_test3,1,1,0,0,1,0,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/28a66a9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
29c47e9,big_test4,19,3,2,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/29c47e9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
29cf0a3,big_test3,1,3,2,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/29cf0a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
2a99a1b,big_test3,8,11,6,0,0,5,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/2a99a1b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
32799a3,new_bugs-3-2,43,2,2,0,0,0,22,551,/home/jpu007/ExpBridge/projects/new_bugs-3-2/completed/32799a3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
34a0f26,big_test3,19,3,1,0,0,2,12,160,/home/jpu007/ExpBridge/projects/big_test3/completed/34a0f26/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
3538a6a,zhengchuancases0403,8,43,41,0,0,2,3,10,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3538a6a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
3587cbb,big_test2,72,3,2,0,0,1,37,1594,/home/jpu007/ExpBridge/projects/big_test2/completed/3587cbb/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
3694e28,big_test4,9,5,2,0,0,3,28,246,/home/jpu007/ExpBridge/projects/big_test4/completed/3694e28/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
36cf9e5,big_test2,4,3,3,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/36cf9e5/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
380acd1,my3,230,48,26,0,3,19,22,729,/home/jpu007/ExpBridge/projects/my3/completed/380acd1/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
3a430af,zhengchuancases0403,342,13,4,0,0,9,12,2280,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/3a430af/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
3c53ee4,big_test3,153,16,6,0,1,9,2,1071,/home/jpu007/ExpBridge/projects/big_test3/completed/3c53ee4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
4180ff9,big_test4,1,8,7,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/4180ff9/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
481a3ff,big_test1,19,4,2,0,0,2,10,104,/home/jpu007/ExpBridge/projects/big_test1/completed/481a3ff/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
4c0d0c4,big_test4,1,5,4,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/4c0d0c4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
4e97561,big_test4,4,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/4e97561/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
520f870,big_test1,115,2,2,0,0,0,15,2559,/home/jpu007/ExpBridge/projects/big_test1/completed/520f870/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
52bbc0a,my3,32,14,6,0,0,8,7,58,/home/jpu007/ExpBridge/projects/my3/completed/52bbc0a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
52da8b3,big_test4,14,1,1,0,0,0,11,119,/home/jpu007/ExpBridge/projects/big_test4/completed/52da8b3/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
541ce19,new_bugs-1-2,5,1,1,0,0,0,2,6,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/541ce19/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
55a499b,big_test2,171,16,6,0,1,9,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/55a499b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
55cc592,zhengchuancases0403,2,6,3,0,0,3,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/55cc592/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
58c872f,big_test3,20,4,4,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/58c872f/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
5d34cc6,big_test1,1,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/5d34cc6/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
60c837b,zhengchuancases0403,2,1,0,0,1,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/60c837b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6123f04,new_bugs-1-2,14,12,3,0,3,6,0,0,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/6123f04/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6195888,big_test1,1,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/6195888/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
61b1603,big_test1,76,13,4,0,0,9,1,14,/home/jpu007/ExpBridge/projects/big_test1/completed/61b1603/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6491ea8,zhengchuancases0403,12,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/6491ea8/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
65c6b72,zhengchuancases0403,4,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/65c6b72/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6cf5652,big_test2,19,4,2,0,0,2,4,121,/home/jpu007/ExpBridge/projects/big_test2/completed/6cf5652/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6dc9ae7,big_test3,21,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/6dc9ae7/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
6eaef71,big_test1,76,26,20,0,0,6,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/6eaef71/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
707d98c,big_test4-wheezy,2,2,1,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test4-wheezy/completed/707d98c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
709e4c8,big_test2,16,2,1,0,0,1,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/709e4c8/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
71d74a5,big_test2,76,14,6,0,0,8,0,0,/home/jpu007/ExpBridge/projects/big_test2/completed/71d74a5/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
73c586d,new_bugs-1-2,19,3,1,0,0,2,7,118,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/73c586d/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
7b6206f,zhengchuancases0403,6,2,2,0,0,0,0,0,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/7b6206f/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
7dd7f2f,big_test3,18,21,16,0,0,5,3,33,/home/jpu007/ExpBridge/projects/big_test3/completed/7dd7f2f/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
7e9494b,zhengchuancases0403,2,3,1,0,0,2,2,4,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/7e9494b/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
81e96e4,big_test4,76,15,6,0,0,9,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/81e96e4/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
8811381,new_bugs-6,39,2,2,0,0,0,16,1033,/home/jpu007/ExpBridge/projects/new_bugs-6/completed/8811381/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
8993c0f,big_test3,2,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test3/completed/8993c0f/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
8aedc9a,new_bugs-1-2,20,31,21,0,1,9,17,185,/home/jpu007/ExpBridge/projects/new_bugs-1-2/completed/8aedc9a/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
904e7cd,big_test4,5,8,2,0,0,6,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/904e7cd/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
91cf8da,new_bugs-5,16,10,6,0,0,4,0,0,/home/jpu007/ExpBridge/projects/new_bugs-5/completed/91cf8da/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
96414aa,big_test1,18,21,16,0,0,5,3,33,/home/jpu007/ExpBridge/projects/big_test1/completed/96414aa/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
98228e7,zhengchuancases0403,16,22,10,0,0,12,16,68,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/98228e7/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
998c483,big_test1,19,6,4,0,0,2,0,0,/home/jpu007/ExpBridge/projects/big_test1/completed/998c483/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
9f6c56c,zhengchuancases0403,4,1,1,0,0,0,1,2,/home/jpu007/ExpBridge/projects/zhengchuancases0403/completed/9f6c56c/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
9f9ccb1,big_test4,2,1,1,0,0,0,0,0,/home/jpu007/ExpBridge/projects/big_test4/completed/9f9ccb1/PathAnalysisPrimitiveAware/Report_PathAnalysis.json
